bin	chr	sta1	end1	len1
166	1	6883944.5	6924721	40776.5
167	1	6924721	7074283	149562
168	1	7074283	7121488	47205
169	1	7121488	7235949.5	114461.5
170	1	7235949.5	7244941	8991.5
171	1	7244941	7260087	15146
172	1	7260087	7260181	94
173	1	7260181	7260525.5	344.5
174	1	7260525.5	7291604.5	31079
175	1	7291604.5	7299096.5	7492
176	1	7299096.5	7299468	371.5
177	1	7299468	7299766	298
178	1	7299766	7303774.5	4008.5
179	1	7303774.5	7304359.5	585
180	1	7304359.5	7306110	1750.5
181	1	7306110	7426972.5	120862.5
182	1	7426972.5	7493312.5	66340
183	1	7493312.5	7565793	72480.5
184	1	7565793	7587469	21676
185	1	7587469	7638997	51528
186	1	7638997	7677664.5	38667.5
187	1	7677664.5	7683072	5407.5
188	1	7683072	7684158	1086
189	1	7684158	7684804	646
190	1	7684804	7684856	52
191	1	7684856	7692369	7513
192	1	7692369	7697991.5	5622.5
193	1	7697991.5	7959266	261274.5
194	1	7959266	7962673	3407
195	1	7962673	7964689.5	2016.5
196	1	7964689.5	8017069	52379.5
197	1	8017069	8090312.5	73243.5
198	1	8090312.5	8097457	7144.5
199	1	8097457	8099346	1889
200	1	8099346	8099566	220
201	1	8099566	8101892	2326
202	1	8101892	8133001	31109
203	1	8133001	8134755.5	1754.5
204	1	8134755.5	8134823	67.5
205	1	8134823	8134923.5	100.5
206	1	8134923.5	8138824.5	3901
207	1	8138824.5	8140158	1333.5
208	1	8140158	8140931	773
209	1	8140931	8259356	118425
210	1	8259356	8267455	8099
211	1	8267455	8267567	112
212	1	8267567	8269126.5	1559.5
213	1	8269126.5	8275445.5	6319
214	1	8275445.5	8282971.5	7526
215	1	8282971.5	8292854.5	9883
216	1	8292854.5	8295055.5	2201
217	1	8295055.5	8317832	22776.5
218	1	8317832	8351987	34155
219	1	8351987	8352139.5	152.5
220	1	8352139.5	8360660.5	8521
221	1	8360660.5	8440487.5	79827
222	1	8440487.5	8548671.5	108184
223	1	8548671.5	8585514.5	36843
224	1	8585514.5	8609078	23563.5
225	1	8609078	8788193	179115
226	1	8788193	9046665	258472
227	1	9046665	9061096	14431
228	1	9061096	9083648.5	22552.5
229	1	9083648.5	9186356	102707.5
230	1	9186356	9298455.5	112099.5
231	1	9298455.5	9298591.5	136
232	1	9298591.5	9298700	108.5
233	1	9298700	9298842.5	142.5
234	1	9298842.5	9328456.5	29614
235	1	9328456.5	9358604	30147.5
236	1	9358604	9358758	154
237	1	9358758	9503590	144832
238	1	9503590	9511907.5	8317.5
239	1	9511907.5	9521729.5	9822
240	1	9521729.5	9529045.5	7316
241	1	9529045.5	9549578.5	20533
242	1	9549578.5	9560600.5	11022
243	1	9560600.5	9569205.5	8605
244	1	9569205.5	9578624	9418.5
245	1	9578624	9634428	55804
246	1	9634428	9933461.5	299033.5
247	1	9933461.5	9985722.5	52261
248	1	9985722.5	9986094.5	372
249	1	9986094.5	10013429	27334.5
250	1	10013429	10013509	80
251	1	10013509	10013631	122
252	1	10013631	10013715	84
253	1	10013715	10013853.5	138.5
254	1	10013853.5	10149096.5	135243
255	1	10149096.5	10246934	97837.5
256	1	10246934	10289921.5	42987.5
257	1	10289921.5	10289945.5	24
258	1	10289945.5	10290021.5	76
259	1	10290021.5	10361291	71269.5
260	1	10361291	10579480	218189
261	1	10579480	10587374.5	7894.5
262	1	10587374.5	10589288.5	1914
263	1	10589288.5	10632491	43202.5
264	1	10632491	10768697.5	136206.5
265	1	10768697.5	10845112	76414.5
266	1	10845112	10846000	888
267	1	10846000	10859188	13188
268	1	10859188	10873237.5	14049.5
269	1	10873237.5	10873279	41.5
270	1	10873279	10917117.5	43838.5
271	1	10917117.5	10960752	43634.5
272	1	10960752	10966854.5	6102.5
273	1	10966854.5	11103448	136593.5
274	1	11103448	11236111.5	132663.5
275	1	11236111.5	11242494	6382.5
276	1	11242494	11279352	36858
277	1	11279352	11297053.5	17701.5
278	1	11297053.5	11399560.5	102507
279	1	11399560.5	11478956.5	79396
280	1	11478956.5	11481535.5	2579
281	1	11481535.5	11481547.5	12
282	1	11481547.5	11481580	32.5
283	1	11481580	11481659	79
284	1	11481659	11481673.5	14.5
285	1	11481673.5	11521836	40162.5
286	1	11521836	11687054.5	165218.5
287	1	11687054.5	11692801	5746.5
288	1	11692801	11693930.5	1129.5
289	1	11693930.5	11782231	88300.5
290	1	11782231	11787351.5	5120.5
291	1	11787351.5	11964668	177316.5
292	1	11964668	12043554	78886
293	1	12043554	12100579.5	57025.5
294	1	12100579.5	12102120	1540.5
295	1	12102120	12165040.5	62920.5
296	1	12165040.5	12165871	830.5
297	1	12165871	12172352	6481
298	1	12172352	12178731	6379
299	1	12178731	12180579	1848
300	1	12180579	12181014	435
301	1	12181014	12225516	44502
302	1	12225516	12245011.5	19495.5
303	1	12245011.5	12309388.5	64377
304	1	12309388.5	12310270	881.5
305	1	12310270	12358793.5	48523.5
306	1	12358793.5	12433385.5	74592
307	1	12433385.5	12441125.5	7740
308	1	12441125.5	12445301	4175.5
309	1	12445301	12445456.5	155.5
310	1	12445456.5	12445837	380.5
311	1	12445837	12445849	12
312	1	12445849	12449371.5	3522.5
313	1	12449371.5	12515869.5	66498
314	1	12515869.5	12671629	155759.5
315	1	12671629	12672005.5	376.5
316	1	12672005.5	12721938	49932.5
317	1	12721938	12722033.5	95.5
318	1	12722033.5	12755232	33198.5
319	1	12755232	12788476	33244
320	1	12788476	12950473.5	161997.5
321	1	12950473.5	12977006	26532.5
322	1	12977006	12977711	705
323	1	12977711	12985686	7975
324	1	12985686	13093122.5	107436.5
325	1	13093122.5	13144733.5	51611
326	1	13144733.5	13507863.5	363130
327	1	13507863.5	13508012	148.5
328	1	13508012	13508145	133
329	1	13508145	13508256.5	111.5
330	1	13508256.5	13508458.5	202
331	1	13508458.5	13521071.5	12613
332	1	13521071.5	13560895.5	39824
333	1	13560895.5	13593204.5	32309
334	1	13593204.5	13593238	33.5
335	1	13593238	13593965.5	727.5
336	1	13593965.5	13594965.5	1000
337	1	13594965.5	13595267	301.5
338	1	13595267	13595304.5	37.5
339	1	13595304.5	13595336	31.5
340	1	13595336	13596372	1036
341	1	13596372	13602045	5673
342	1	13602045	13690446.5	88401.5
343	1	13690446.5	13741995.5	51549
344	1	13741995.5	13790929	48933.5
345	1	13790929	13809646.5	18717.5
346	1	13809646.5	13809747.5	101
347	1	13809747.5	13809798.5	51
348	1	13809798.5	13809834	35.5
349	1	13809834	13818956.5	9122.5
350	1	13818956.5	13828789	9832.5
351	1	13828789	13970588.5	141799.5
352	1	13970588.5	13985347.5	14759
353	1	13985347.5	13985955	607.5
354	1	13985955	14051867.5	65912.5
355	1	14051867.5	14090445.5	38578
356	1	14090445.5	14152982	62536.5
357	1	14152982	14297365	144383
358	1	14297365	14347518	50153
359	1	14347518	14383517	35999
360	1	14383517	14501121	117604
361	1	14501121	14508366.5	7245.5
362	1	14508366.5	14510075	1708.5
363	1	14510075	14512241	2166
364	1	14512241	14512262.5	21.5
365	1	14512262.5	14636801.5	124539
366	1	14636801.5	14703718.5	66917
367	1	14703718.5	14713387	9668.5
368	1	14713387	14759096	45709
369	1	14759096	14759223.5	127.5
370	1	14759223.5	14759940	716.5
371	1	14759940	14759999.5	59.5
372	1	14759999.5	14795509.5	35510
373	1	14795509.5	14795598	88.5
374	1	14795598	14800981	5383
375	1	14800981	14807005.5	6024.5
376	1	14807005.5	14855944.5	48939
377	1	14855944.5	14857632	1687.5
378	1	14857632	14877716	20084
379	1	14877716	14929903.5	52187.5
380	1	14929903.5	14935521	5617.5
381	1	14935521	15038800	103279
382	1	15038800	15138055	99255
383	1	15138055	15288577	150522
384	1	15288577	15288623.5	46.5
385	1	15288623.5	15340114	51490.5
386	1	15340114	15341366	1252
387	1	15341366	15342413	1047
388	1	15342413	15735618.5	393205.5
389	1	15735618.5	15756328	20709.5
390	1	15756328	16055455.5	299127.5
391	1	16055455.5	16168088	112632.5
392	1	16168088	16337087	168999
393	1	16337087	16344042.5	6955.5
394	1	16344042.5	16414577.5	70535
395	1	16414577.5	16474014	59436.5
396	1	16474014	16510392	36378
397	1	16510392	16519098	8706
398	1	16519098	16575013.5	55915.5
399	1	16575013.5	16602869	27855.5
400	1	16602869	16650309	47440
401	1	16650309	16748119	97810
402	1	16748119	16799694.5	51575.5
403	1	16799694.5	16799784	89.5
404	1	16799784	16901100	101316
405	1	16901100	17081202.5	180102.5
406	1	17081202.5	17320159.5	238957
407	1	17320159.5	17320243.5	84
408	1	17320243.5	17320757.5	514
409	1	17320757.5	17335600.5	14843
410	1	17335600.5	17391519	55918.5
411	1	17391519	17393899	2380
412	1	17393899	17408952.5	15053.5
413	1	17408952.5	17409435.5	483
414	1	17409435.5	17486855	77419.5
415	1	17486855	17486993.5	138.5
416	1	17486993.5	17487081.5	88
417	1	17487081.5	17487230.5	149
418	1	17487230.5	17487292	61.5
419	1	17487292	17487312	20
420	1	17487312	17487336.5	24.5
421	1	17487336.5	17569247.5	81911
422	1	17569247.5	17673182.5	103935
423	1	17673182.5	17673353	170.5
424	1	17673353	17673593.5	240.5
425	1	17673593.5	17676077	2483.5
426	1	17676077	17676447.5	370.5
427	1	17676447.5	17676456.5	9
428	1	17676456.5	17702750	26293.5
429	1	17702750	17714077	11327
430	1	17714077	17735523.5	21446.5
431	1	17735523.5	17783543	48019.5
432	1	17783543	17825294	41751
433	1	17825294	17826367.5	1073.5
434	1	17826367.5	17826895	527.5
435	1	17826895	17831410	4515
436	1	17831410	17831530	120
437	1	17831530	17881887.5	50357.5
438	1	17881887.5	17881908.5	21
439	1	17881908.5	17961682.5	79774
440	1	17961682.5	17961869.5	187
441	1	17961869.5	18023519	61649.5
442	1	18023519	18054963	31444
443	1	18054963	18200379.5	145416.5
444	1	18200379.5	18378434	178054.5
445	1	18378434	18506343	127909
446	1	18506343	18771497	265154
447	1	18771497	18771544	47
448	1	18771544	18773251	1707
449	1	18773251	19143559.5	370308.5
450	1	19143559.5	19331554	187994.5
451	1	19331554	19338614	7060
452	1	19338614	19345452	6838
453	1	19345452	19401158.5	55706.5
454	1	19401158.5	19401252	93.5
455	1	19401252	19519223	117971
456	1	19519223	19519226.5	3.5
457	1	19519226.5	19552434.5	33208
458	1	19552434.5	19553055	620.5
459	1	19553055	19622459	69404
460	1	19622459	19691294	68835
461	1	19691294	19693652	2358
462	1	19693652	19693703.5	51.5
463	1	19693703.5	19693762.5	59
464	1	19693762.5	19698154.5	4392
465	1	19698154.5	19792064	93909.5
466	1	19792064	19792241	177
467	1	19792241	19792330	89
468	1	19792330	19809951.5	17621.5
469	1	19809951.5	19816083	6131.5
470	1	19816083	19816171.5	88.5
471	1	19816171.5	19976538	160366.5
472	1	19976538	19989553	13015
473	1	19989553	19991935	2382
474	1	19991935	19991968	33
475	1	19991968	19992043	75
476	1	19992043	20105613.5	113570.5
477	1	20105613.5	20105622.5	9
478	1	20105622.5	20105799	176.5
479	1	20105799	20107032	1233
480	1	20107032	20108454.5	1422.5
481	1	20108454.5	20280919	172464.5
482	1	20280919	20283404	2485
483	1	20283404	20472869.5	189465.5
484	1	20472869.5	20730979	258109.5
485	1	20730979	20850862.5	119883.5
486	1	20850862.5	21096815	245952.5
487	1	21096815	21218208	121393
488	1	21218208	21251037.5	32829.5
489	1	21251037.5	21252232.5	1195
490	1	21252232.5	21390482	138249.5
491	1	21390482	21413196	22714
492	1	21413196	21414158.5	962.5
493	1	21414158.5	21416556.5	2398
494	1	21416556.5	21416580.5	24
495	1	21416580.5	21458212	41631.5
496	1	21458212	21462188	3976
497	1	21462188	21686671	224483
498	1	21686671	21689527	2856
499	1	21689527	21720729.5	31202.5
500	1	21720729.5	21746863.5	26134
501	1	21746863.5	21982045.5	235182
502	1	21982045.5	21982085	39.5
503	1	21982085	22156931	174846
504	1	22156931	22249036	92105
505	1	22249036	22249230	194
506	1	22249230	22249533	303
507	1	22249533	22378777	129244
508	1	22378777	22447829	69052
509	1	22447829	22506773	58944
510	1	22506773	22510802	4029
511	1	22510802	22511124	322
512	1	22511124	22618995.5	107871.5
513	1	22618995.5	22644749	25753.5
514	1	22644749	22645256.5	507.5
515	1	22645256.5	22650211.5	4955
516	1	22650211.5	22653950	3738.5
517	1	22653950	22698205.5	44255.5
518	1	22698205.5	22756969.5	58764
519	1	22756969.5	22864509	107539.5
520	1	22864509	23192473	327964
521	1	23192473	23197871	5398
522	1	23197871	23217071	19200
523	1	23217071	23231971	14900
524	1	23231971	23304457	72486
525	1	23304457	23330007	25550
526	1	23330007	23610881	280874
527	1	23610881	23643109	32228
528	1	23643109	23647781.5	4672.5
529	1	23647781.5	23653170.5	5389
530	1	23653170.5	23653215	44.5
531	1	23653215	23653234.5	19.5
532	1	23653234.5	23796074	142839.5
533	1	23796074	23921078	125004
534	1	23921078	23939672.5	18594.5
535	1	23939672.5	23962851	23178.5
536	1	23962851	24005575.5	42724.5
537	1	24005575.5	24006543.5	968
538	1	24006543.5	24153282.5	146739
539	1	24153282.5	24288255	134972.5
540	1	24288255	24356465	68210
541	1	24356465	24458242.5	101777.5
542	1	24458242.5	24462691	4448.5
543	1	24462691	24463063	372
544	1	24463063	24483155.5	20092.5
545	1	24483155.5	24483231	75.5
546	1	24483231	24483460.5	229.5
547	1	24483460.5	24483721	260.5
548	1	24483721	24497742.5	14021.5
549	1	24497742.5	24503969.5	6227
550	1	24503969.5	24735045	231075.5
551	1	24735045	24738435	3390
552	1	24738435	25000860.5	262425.5
553	1	25000860.5	25055545.5	54685
554	1	25055545.5	25067223	11677.5
555	1	25067223	25099685	32462
556	1	25099685	25146506	46821
557	1	25146506	25149629	3123
558	1	25149629	25155540	5911
559	1	25155540	25156773	1233
560	1	25156773	25157065	292
561	1	25157065	25159576.5	2511.5
562	1	25159576.5	25168669.5	9093
563	1	25168669.5	25227157.5	58488
564	1	25227157.5	25288446	61288.5
565	1	25288446	25369098	80652
566	1	25369098	25370522.5	1424.5
567	1	25370522.5	25376056	5533.5
568	1	25376056	25422532	46476
569	1	25422532	25439684	17152
570	1	25439684	25621936.5	182252.5
571	1	25621936.5	25641094.5	19158
572	1	25641094.5	25657541.5	16447
573	1	25657541.5	26040675.5	383134
574	1	26040675.5	26147176.5	106501
575	1	26147176.5	26147662	485.5
576	1	26147662	26151551	3889
577	1	26151551	26183013	31462
578	1	26183013	26203151.5	20138.5
579	1	26203151.5	26206527	3375.5
580	1	26206527	26436944.5	230417.5
581	1	26436944.5	26437213	268.5
582	1	26437213	26497303	60090
583	1	26497303	26517200	19897
584	1	26517200	26574164.5	56964.5
585	1	26574164.5	26676458.5	102294
586	1	26676458.5	26677391.5	933
587	1	26677391.5	26678940.5	1549
588	1	26678940.5	26692363.5	13423
589	1	26692363.5	26697587	5223.5
590	1	26697587	26841308	143721
591	1	26841308	27083706.5	242398.5
592	1	27083706.5	27098501.5	14795
593	1	27098501.5	27098886	384.5
594	1	27098886	27139213	40327
595	1	27139213	27323329	184116
596	1	27323329	27376227.5	52898.5
597	1	27376227.5	27390004.5	13777
598	1	27390004.5	27390470	465.5
599	1	27390470	27399202.5	8732.5
600	1	27399202.5	27402968	3765.5
601	1	27402968	27403256.5	288.5
602	1	27403256.5	27406325	3068.5
603	1	27406325	27500496.5	94171.5
604	1	27500496.5	27571178	70681.5
605	1	27571178	27644667.5	73489.5
606	1	27644667.5	27645428.5	761
607	1	27645428.5	27646186.5	758
608	1	27646186.5	27647355	1168.5
609	1	27647355	27900763.5	253408.5
610	1	27900763.5	27901796	1032.5
611	1	27901796	27909797	8001
612	1	27909797	27915864.5	6067.5
613	1	27915864.5	27915918	53.5
614	1	27915918	28017273.5	101355.5
615	1	28017273.5	28027477	10203.5
616	1	28027477	28045528.5	18051.5
617	1	28045528.5	28063571	18042.5
618	1	28063571	28063595.5	24.5
619	1	28063595.5	28077153.5	13558
620	1	28077153.5	28077563.5	410
621	1	28077563.5	28079531	1967.5
622	1	28079531	28082261.5	2730.5
623	1	28082261.5	28083839.5	1578
624	1	28083839.5	28083863	23.5
625	1	28083863	28097486.5	13623.5
626	1	28097486.5	28097564.5	78
627	1	28097564.5	28097951.5	387
628	1	28097951.5	28099154.5	1203
629	1	28099154.5	28099988	833.5
630	1	28099988	28101085	1097
631	1	28101085	28102012	927
632	1	28102012	28179539	77527
633	1	28179539	28180790.5	1251.5
634	1	28180790.5	28204487	23696.5
635	1	28204487	28291749	87262
636	1	28291749	28291895.5	146.5
637	1	28291895.5	28295376	3480.5
638	1	28295376	28295597.5	221.5
639	1	28295597.5	28525801	230203.5
640	1	28525801	28526469	668
641	1	28526469	28599411.5	72942.5
642	1	28599411.5	28605399.5	5988
643	1	28605399.5	28620294	14894.5
644	1	28620294	28794029.5	173735.5
645	1	28794029.5	28796557	2527.5
646	1	28796557	28800493.5	3936.5
647	1	28800493.5	28865019.5	64526
648	1	28865019.5	28949585	84565.5
649	1	28949585	28970096	20511
650	1	28970096	28971229	1133
651	1	28971229	28971240	11
652	1	28971240	29014514	43274
653	1	29014514	29020508.5	5994.5
654	1	29020508.5	29026524	6015.5
655	1	29026524	29123764.5	97240.5
656	1	29123764.5	29154823	31058.5
657	1	29154823	29154880.5	57.5
658	1	29154880.5	29193339	38458.5
659	1	29193339	29256944	63605
660	1	29256944	29257383.5	439.5
661	1	29257383.5	29258494	1110.5
662	1	29258494	29258501.5	7.5
663	1	29258501.5	29259050.5	549
664	1	29259050.5	29403524.5	144474
665	1	29403524.5	29562834.5	159310
666	1	29562834.5	29628732	65897.5
667	1	29628732	29642104.5	13372.5
668	1	29642104.5	29642310.5	206
669	1	29642310.5	29676388.5	34078
670	1	29676388.5	29676519	130.5
671	1	29676519	29696088	19569
672	1	29696088	29763384.5	67296.5
673	1	29763384.5	29782617	19232.5
674	1	29782617	29784174.5	1557.5
675	1	29784174.5	29830130	45955.5
676	1	29830130	29831567.5	1437.5
677	1	29831567.5	29902428.5	70861
678	1	29902428.5	30313936.5	411508
679	1	30313936.5	30603431.5	289495
680	1	30603431.5	30603447.5	16
681	1	30603447.5	30603511	63.5
682	1	30603511	30659820.5	56309.5
683	1	30659820.5	30662341	2520.5
684	1	30662341	30677341.5	15000.5
685	1	30677341.5	30692346	15004.5
686	1	30692346	30692381	35
687	1	30692381	30725978.5	33597.5
688	1	30725978.5	30798282	72303.5
689	1	30798282	30987422	189140
690	1	30987422	31060781	73359
691	1	31060781	31166093	105312
692	1	31166093	31372880	206787
693	1	31372880	31374067	1187
694	1	31374067	31382539.5	8472.5
695	1	31382539.5	31384219	1679.5
696	1	31384219	31384258	39
697	1	31384258	31564837	180579
698	1	31564837	31565264.5	427.5
699	1	31565264.5	31565609.5	345
700	1	31565609.5	31568208.5	2599
701	1	31568208.5	31568521	312.5
702	1	31568521	31572671	4150
703	1	31572671	31587154.5	14483.5
704	1	31587154.5	31587339	184.5
705	1	31587339	31593029.5	5690.5
706	1	31593029.5	31597898	4868.5
707	1	31597898	31598015.5	117.5
708	1	31598015.5	31609321	11305.5
709	1	31609321	31746323.5	137002.5
710	1	31746323.5	31781193	34869.5
711	1	31781193	31867042	85849
712	1	31867042	31871059.5	4017.5
713	1	31871059.5	31871404	344.5
714	1	31871404	31874208	2804
715	1	31874208	31874275.5	67.5
716	1	31874275.5	31874294	18.5
717	1	31874294	31875875.5	1581.5
718	1	31875875.5	31877540.5	1665
719	1	31877540.5	31877777.5	237
720	1	31877777.5	32099578.5	221801
721	1	32099578.5	32169137.5	69559
722	1	32169137.5	32205995	36857.5
723	1	32205995	32207616.5	1621.5
724	1	32207616.5	32312452	104835.5
725	1	32312452	32531134.5	218682.5
726	1	32531134.5	32671927.5	140793
727	1	32671927.5	32875854	203926.5
728	1	32875854	32992113.5	116259.5
729	1	32992113.5	32996362	4248.5
730	1	32996362	33031489	35127
731	1	33031489	33034077	2588
732	1	33034077	33052321	18244
733	1	33052321	33120155.5	67834.5
734	1	33120155.5	33120163.5	8
735	1	33120163.5	33208622.5	88459
736	1	33208622.5	33320940.5	112318
737	1	33320940.5	33321308.5	368
738	1	33321308.5	33417090.5	95782
739	1	33417090.5	33449604.5	32514
740	1	33449604.5	33493244.5	43640
741	1	33493244.5	33614647.5	121403
742	1	33614647.5	33778299	163651.5
743	1	33778299	33793001	14702
744	1	33793001	33808292.5	15291.5
745	1	33808292.5	33827197	18904.5
746	1	33827197	33834835	7638
747	1	33834835	33834918.5	83.5
748	1	33834918.5	34297687	462768.5
749	1	34297687	34327301	29614
750	1	34327301	34407962	80661
751	1	34407962	34515140.5	107178.5
752	1	34515140.5	34517192.5	2052
753	1	34517192.5	34517251.5	59
754	1	34517251.5	34730097	212845.5
755	1	34730097	34829458	99361
756	1	34829458	34996209.5	166751.5
757	1	34996209.5	35047747	51537.5
758	1	35047747	35057043.5	9296.5
759	1	35057043.5	35058546	1502.5
760	1	35058546	35229643	171097
761	1	35229643	35229695.5	52.5
762	1	35229695.5	35241051	11355.5
763	1	35241051	35256543.5	15492.5
764	1	35256543.5	35269749.5	13206
765	1	35269749.5	35312264	42514.5
766	1	35312264	35313352	1088
767	1	35313352	35544083	230731
768	1	35544083	35560058.5	15975.5
769	1	35560058.5	35742708	182649.5
770	1	35742708	35742744	36
771	1	35742744	35836703	93959
772	1	35836703	35939571.5	102868.5
773	1	35939571.5	35952517	12945.5
774	1	35952517	35988681	36164
775	1	35988681	35993627	4946
776	1	35993627	36505440	511813
777	1	36505440	36509801.5	4361.5
778	1	36509801.5	36511284	1482.5
779	1	36511284	36553670.5	42386.5
780	1	36553670.5	36582139	28468.5
781	1	36582139	37068800	486661
782	1	37068800	37160537	91737
783	1	37160537	37209490	48953
784	1	37209490	37218344	8854
785	1	37218344	37935011	716667
786	1	37935011	37973064.5	38053.5
787	1	37973064.5	38115906.5	142842
788	1	38115906.5	38197219	81312.5
789	1	38197219	38317443	120224
790	1	38317443	38319370.5	1927.5
